muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
351,14.04,-1429801,-626.8492650040762,87,-,induccion,-,-
352,14.08,-1431076,-417.7676862365306,87,-,induccion,-,-
353,14.12,-1431341,-211.61506635784147,87,-,induccion,-,-
354,14.16,-1432130,3.014082691546946,87,-,induccion,-,-
355,14.2,-1431358,155.23055878514333,87,-,induccion,-,-
356,14.24,-1430976,357.2525608276982,87,-,induccion,-,-
357,14.28,-1431274,683.2411874637721,87,-,induccion,-,-
358,14.32,-1432184,1089.1410877589985,87,-,induccion,-,-
359,14.36,-1433204,1318.0596720030826,87,-,induccion,-,-
360,14.4,-1433997,1082.5461172959167,87,-,induccion,-,-
361,14.44,-1434571,424.29897301483516,87,-,induccion,-,-
362,14.48,-1434928,-239.79154526921752,87,-,induccion,-,-
363,14.52,-1435363,-521.6909777101995,87,-,induccion,-,-
364,14.56,-1435729,-439.652317423224,87,-,induccion,-,-
365,14.6,-1436374,-265.71133589278884,87,-,induccion,-,-
366,14.64,-1436699,-236.9765633053461,87,-,induccion,-,-
367,14.68,-1437778,-325.0236933098588,87,-,induccion,-,-
368,14.72,-1436476,-503.3950887989781,87,-,induccion,-,-
369,14.76,-1429333,-762.6177269077607,87,-,induccion,-,-
370,14.8,-1426968,-731.352717540497,87,-,induccion,-,-
371,14.84,-1428166,-499.4377610544193,87,-,induccion,-,-
372,14.88,-1429510,-246.39828198954763,87,-,induccion,-,-
373,14.92,-1429694,-56.2048218169715,87,-,induccion,-,-
374,14.96,-1430359,115.0793580148495,87,-,induccion,-,-
375,15.0,-1429206,218.5574039877132,87,87.25,induccion,-,-
376,15.04,-1428808,400.96863303683915,87,-,induccion,-,-
377,15.08,-1428290,690.8699543484319,87,-,induccion,-,-
378,15.12,-1430186,1088.9285305895582,87,-,induccion,-,-
379,15.16,-1431067,1217.5517654259233,87,-,induccion,-,-
380,15.2,-1431663,871.1852167679717,87,-,induccion,-,-
381,15.24,-1432755,208.14931669177122,87,-,induccion,-,-
382,15.28,-1433332,-361.798676391988,87,-,induccion,-,-
383,15.32,-1434739,-489.4898519021383,87,-,induccion,-,-
384,15.36,-1427671,-566.1292067060554,87,-,induccion,-,-
385,15.4,-1423606,-516.8040210760009,87,-,induccion,-,-
386,15.44,-1424033,-476.0700517755754,87,-,induccion,-,-
387,15.48,-1425225,-536.143831715622,87,-,induccion,-,-
388,15.52,-1424770,-626.8982384616619,87,-,induccion,-,-
389,15.56,-1425223,-546.2472065843897,87,-,induccion,-,-
390,15.6,-1425165,-332.22113061554614,87,-,induccion,-,-
391,15.64,-1424981,-24.42506422801148,87,-,induccion,-,-
392,15.68,-1425192,378.70528994889673,87,-,induccion,-,-
393,15.72,-1426225,857.0402279621251,87,-,induccion,-,-
394,15.76,-1426974,1178.2471318845876,87,-,induccion,-,-
395,15.8,-1427565,1065.8315160172174,87,-,induccion,-,-
396,15.84,-1428293,517.4048778531039,87,-,induccion,-,-
397,15.88,-1428945,-101.89261858260079,87,-,induccion,-,-
398,15.92,-1429758,-405.2522169560026,87,-,induccion,-,-
399,15.96,-1430080,-396.3953780392483,87,-,induccion,-,-
400,16.0,-1430486,-297.20951674488356,87,-,induccion,-,-
401,16.04,-1430981,-283.86222498382114,87,-,induccion,-,-
402,16.08,-1431577,-352.563430258517,87,-,induccion,-,-
403,16.12,-1431633,-433.3455808346173,87,-,induccion,-,-
404,16.16,-1424424,-670.0345549890799,87,-,induccion,-,-
405,16.2,-1420652,-705.9278307630184,87,-,induccion,-,-
406,16.24,-1421894,-521.3066245345176,87,-,induccion,-,-
407,16.28,-1421650,-354.2229110491585,87,-,induccion,-,-
408,16.32,-1421884,-150.60975236513946,87,-,induccion,-,-
409,16.36,-1422484,73.6320501208802,87,-,induccion,-,-
410,16.4,-1422692,277.66125322260496,87,-,induccion,-,-
411,16.44,-1422566,487.77100493266266,87,-,induccion,-,-
412,16.48,-1422763,786.007456246014,87,-,induccion,-,-
413,16.52,-1423782,1159.3852675728258,87,-,induccion,-,-
414,16.56,-1424848,1356.5987691496575,87,-,induccion,-,-
415,16.6,-1425104,1089.9002212485434,87,-,induccion,-,-
416,16.64,-1426214,458.17889433347636,87,-,induccion,-,-
417,16.68,-1427557,-174.07991750976635,87,-,induccion,-,-
418,16.72,-1428218,-505.8624104172202,87,-,induccion,-,-
419,16.76,-1429266,-515.7687564057403,87,-,induccion,-,-
420,16.8,-1429844,-444.0644491575927,87,-,induccion,-,-
421,16.84,-1427617,-513.1236171262278,87,-,induccion,-,-
422,16.88,-1420499,-794.4925939108552,87,-,induccion,-,-
423,16.92,-1418878,-881.6174840544218,87,-,induccion,-,-
424,16.96,-1420394,-780.1698960999843,87,-,induccion,-,-
425,17.0,-1421075,-607.8112255910763,87,-,induccion,-,-
426,17.04,-1420710,-415.40337952427046,87,-,induccion,-,-
427,17.08,-1420889,-189.12206096714073,87,-,induccion,-,-
428,17.12,-1420555,54.134244136825714,87,-,induccion,-,-
429,17.16,-1420939,407.1753228020891,87,-,induccion,-,-
430,17.2,-1421816,870.3025195122477,87,-,induccion,-,-
431,17.24,-1422402,1272.7264042903207,87,-,induccion,-,-
432,17.28,-1422941,1339.3452099648425,87,-,induccion,-,-
433,17.32,-1423692,919.626689372682,87,-,induccion,-,-
434,17.36,-1424067,219.86776476116665,87,-,induccion,-,-
